player,points,rebounds,assists,class
Patrick Patterson,5.0,2.9,0.8,4
Justin Patton,1.0,1.0,0.0,4
Chris Paul,16.0,4.1,5.8,3
Elfrid Payton,7.5,2.8,4.0,4
Norvel Pelle,4.0,5.0,1.0,4
Theo Pinson,4.8,2.2,2.3,4
Mason Plumlee,6.9,5.8,2.3,4
Jakob Poeltl,6.0,6.0,1.5,4
Vincent Poirier,1.4,1.3,0.4,4
Shamorie Ponds,2.0,0.5,1.0,4
Jordan Poole,7.9,2.3,2.0,4
Kevin Porter Jr.,6.9,3.3,1.9,4
Michael Porter Jr.,4.3,2.4,0.4,4
Otto Porter Jr.,11.2,3.4,1.6,1
Bobby Portis,8.7,5.7,1.1,4
Kristaps Porzingis,16.4,8.7,1.4,1
Dwight Powell,8.2,4.7,1.3,4
Norman Powell,13.1,3.9,1.5,1
Taurean Prince,13.4,6.2,2.2,1
Ivan Rabb,5.8,4.2,1.1,4
Julius Randle,16.7,8.6,3.4,1
Cam Reddish,8.0,3.7,1.6,4
JJ Redick,15.5,3.2,2.0,1
Cameron Reynolds,5.0,1.6,0.7,4
Josh Richardson,16.1,3.4,3.6,1
Austin Rivers,8.4,2.7,1.5,4
Andre Roberson,5.0,4.7,1.2,4
Duncan Robinson,10.9,3.0,0.7,1
Jerome Robinson,3.8,1.6,1.0,4
Justin Robinson,1.0,0.6,0.4,4
Mitchell Robinson,9.2,6.7,0.6,4
Glenn Robinson III,11.8,4.6,1.8,1
Rajon Rondo,8.5,3.5,5.8,3
Derrick Rose,15.8,2.0,5.7,3
Terrence Ross,13.0,2.9,1.0,1
Terry Rozier,17.5,4.4,4.2,1
Ricky Rubio,12.5,4.8,8.9,3
D'Angelo Russell,22.3,3.8,6.2,0
Domantas Sabonis,18.4,13.1,3.7,2
JaKarr Sampson,5.6,2.7,0.4,4
Dario Saric,10.9,7.2,2.1,1
Tomas Satoransky,9.4,3.3,5.2,3
Admiral Schofield,2.4,1.2,0.1,4
Dennis Schroder,16.3,3.8,3.6,1
Mike Scott,6.1,3.4,0.8,4
Thabo Sefolosha,2.1,2.4,0.8,4
Collin Sexton,17.7,3.1,2.4,1
Landry Shamet,9.1,1.5,1.7,4
Pascal Siakam,24.6,8.5,3.7,0
Chris Silva,3.9,4.0,0.6,4
Ben Simmons,14.3,6.9,8.5,3
Kobi Simmons,0.0,0.0,0.0,4
Anfernee Simons,10.0,1.9,1.5,4
Marcus Smart,11.8,3.4,4.6,1
Ish Smith,9.1,3.0,4.3,4
Zhaire Smith,6.7,2.2,1.7,4
Dennis Smith Jr.,5.4,1.8,2.9,4
Tony Snell,7.8,1.7,1.5,4
Omari Spellman,7.8,5.6,1.0,4
Max Strus,2.5,0.5,0.0,4
Edmond Sumner,7.0,1.0,2.0,4
Caleb Swanigan,0.8,1.0,0.0,4
Jayson Tatum,21.2,7.0,2.9,0
Jeff Teague,12.9,2.7,7.1,3
Garrett Temple,10.3,3.2,2.3,1
Daniel Theis,6.6,6.7,1.3,4
Isaiah Thomas,12.6,1.8,5.1,3
Khyri Thomas,0.5,0.0,0.0,4
Matt Thomas,4.8,1.1,0.3,4
Klay Thompson,21.5,3.8,2.4,0
Tristan Thompson,13.6,10.0,2.4,1
Matisse Thybulle,4.7,1.0,1.3,4
Anthony Tolliver,3.3,3.1,0.6,4
Karl-Anthony Towns,25.8,11.6,4.7,0
Gary Trent Jr.,3.7,1.1,0.5,4
Allonzo Trier,7.5,1.5,1.3,4
P.J. Tucker,9.8,6.6,1.5,4
Evan Turner,4.1,2.1,2.3,4
Myles Turner,11.3,5.7,1.1,1
Jonas Valanciunas,14.3,9.8,1.9,1
Denzel Valentine,5.9,1.9,0.9,4
Fred VanVleet,18.0,3.8,7.0,3
